base|N BC|Fournisseur|Dscription|FreeTxt|Pole Support|Comments|Qte Cmd|PU|Remise|Total|Total Ap Rem|N RC|Qte Rec|
AM_PROINVEST|24000082|NIYA HICHAM|Prestation de service|:Activités de soutien à l&#039;enseignement||PAIE MARS 2024 NIYA HICHAM Basé sur Demande d&#039;achat 24000086.|1.00|900.00|0.00|900.00|900.00|24000062|1.00|
AM_PROINVEST|24000083|SALAH NAJIB|Prestation de service|:Activités de soutien à l&#039;enseignement||PAIE MARS 2024 NAJIB SALAH Basé sur Demande d&#039;achat 24000085.|1.00|4000.00|0.00|4000.00|4000.00|24000063|1.00|
AM_PROINVEST|24000084|KOURBANI HASSAN|Prestation de service|Prestation de service||PAIE MARS 2024 KOURBANI HASSAN Basé sur Demande d&#039;achat 24000084.|1.00|5000.00|0.00|5000.00|5000.00|24000064|1.00|
AM_PROINVEST|24000085|ATTAR OMAR|Prestation de service|||PAIE MARS 2024 ATTAR OMAR Basé sur Demande d&#039;achat 24000083.|1.00|5000.00|0.00|5000.00|5000.00|24000065|1.00|
AM_PROINVEST|24000086|QILACH HOUCINE|Prestation de service|Prestation de service||PAIE MARS 2024 QILACH HOUCINE Basé sur Demande d&#039;achat 24000082.|1.00|7500.00|0.00|7500.00|7500.00|24000066|1.00|
AM_PROINVEST|24000087|Dr YASMINA BOUIZKRI|Honoraires des services|Février 2024|PS08|Médecin de travail Basé sur Demande d&#039;achat 24000089.|1.00|4000.00|0.00|4000.00|4000.00|24000068|1.00|
AM_PROINVEST|24000088|Dr YASMINA BOUIZKRI|Honoraires des services|Mars 2024|PS08|Médecin de travail Basé sur Demande d&#039;achat 24000090.|1.00|4000.00|0.00|4000.00|4000.00|24000069|1.00|
AM_PROINVEST|24000089|CLINIQUE AL AMAL|Prestation de service|TDM|PS08|Clinique: éléve: OUTIRY YAHYA Basé sur Demande d&#039;achat 24000093.|1.00|1000.00|0.00|1000.00|1000.00|24000077|1.00|
AM_PROINVEST|24000089|CLINIQUE AL AMAL|Prestation de service|RADIOS|PS08|Clinique: éléve: OUTIRY YAHYA Basé sur Demande d&#039;achat 24000093.|2.00|200.00|0.00|400.00|400.00|24000077|2.00|
AM_PROINVEST|24000089|CLINIQUE AL AMAL|Prestation de service|Bilan sanguin|PS08|Clinique: éléve: OUTIRY YAHYA Basé sur Demande d&#039;achat 24000093.|1.00|539.20|0.00|539.20|539.20|24000077|1.00|
AM_PROINVEST|24000089|CLINIQUE AL AMAL|Prestation de service|Pharmacie|PS08|Clinique: éléve: OUTIRY YAHYA Basé sur Demande d&#039;achat 24000093.|1.00|210.30|0.00|210.30|210.30|24000077|1.00|
AM_PROINVEST|24000089|CLINIQUE AL AMAL|Prestation de service|Consultation médecin DR KHADDAR &amp; DR EL BOUANANI|PS08|Clinique: éléve: OUTIRY YAHYA Basé sur Demande d&#039;achat 24000093.|1.00|600.00|0.00|600.00|600.00|24000077|1.00|
AM_PROINVEST|24000090|NACIRECK PLUS|Nettoyage|de 2 lits et canapés(IMM4 appart 12 et13)/1 lit(IMM5 appart 8)/1 lit(IMM7 appart 16)||Nettoyage ameublement des appartement non vendus. Basé sur Demande d&#039;achat 24000094.|1.00|1000.00|0.00|1000.00|1000.00|24000086|1.00|
AM_PROINVEST|24000091|EL HAMRI LARBI|Prestation de service||PS08|PAIE MARS 2024 LHAMRI LARBI Basé sur Demande d&#039;achat 24000092.|1.00|3300.00|0.00|3300.00|3300.00|24000079|1.00|
AM_PROINVEST|24000092|LNTI|Visite technique||PS08|Véhicule 13221 B 7 Basé sur Demande d&#039;achat 24000091.|1.00|552.00|0.00|552.00|552.00|24000078|1.00|
AM_PROINVEST|24000093|GSIOG|Produit laboratoire|Fer en poudre 250 G|PS08|MP:50% Avance/50% Aprés 30 jours.-Pour les classes SVT Basé sur Demande d&#039;achat 24000080.|1.00|192.00|0.00|192.00|192.00|||
AM_PROINVEST|24000093|GSIOG|Produit laboratoire|Bécher 50 ml|PS08|MP:50% Avance/50% Aprés 30 jours.-Pour les classes SVT Basé sur Demande d&#039;achat 24000080.|3.00|24.00|0.00|72.00|72.00|||
AM_PROINVEST|24000093|GSIOG|Produit laboratoire|Bécher 100 ml|PS08|MP:50% Avance/50% Aprés 30 jours.-Pour les classes SVT Basé sur Demande d&#039;achat 24000080.|3.00|36.00|0.00|108.00|108.00|||
AM_PROINVEST|24000093|GSIOG|Produit laboratoire|Bécher 250 ml|PS08|MP:50% Avance/50% Aprés 30 jours.-Pour les classes SVT Basé sur Demande d&#039;achat 24000080.|5.00|48.00|0.00|240.00|240.00|||
AM_PROINVEST|24000093|GSIOG|Produit laboratoire|éprouvette graduée 50 ml|PS08|MP:50% Avance/50% Aprés 30 jours.-Pour les classes SVT Basé sur Demande d&#039;achat 24000080.|2.00|72.00|0.00|144.00|144.00|||
AM_PROINVEST|24000093|GSIOG|Produit laboratoire|Eau oxygénée 500ML|PS08|MP:50% Avance/50% Aprés 30 jours.-Pour les classes SVT Basé sur Demande d&#039;achat 24000080.|1.00|144.00|0.00|144.00|144.00|||
AM_PROINVEST|24000093|GSIOG|Produit laboratoire|Amidon 250G|PS08|MP:50% Avance/50% Aprés 30 jours.-Pour les classes SVT Basé sur Demande d&#039;achat 24000080.|1.00|120.00|0.00|120.00|120.00|||
AM_PROINVEST|24000093|GSIOG|Produit laboratoire|Aluminium en poudre 150G|PS08|MP:50% Avance/50% Aprés 30 jours.-Pour les classes SVT Basé sur Demande d&#039;achat 24000080.|1.00|144.00|0.00|144.00|144.00|||
AM_PROINVEST|24000093|GSIOG|Produit laboratoire|Acide sulfurique 500ML|PS08|MP:50% Avance/50% Aprés 30 jours.-Pour les classes SVT Basé sur Demande d&#039;achat 24000080.|1.00|120.00|0.00|120.00|120.00|||
AM_PROINVEST|24000093|GSIOG|Produit laboratoire|Permanganate de potassium 250G|PS08|MP:50% Avance/50% Aprés 30 jours.-Pour les classes SVT Basé sur Demande d&#039;achat 24000080.|1.00|180.00|0.00|180.00|180.00|||
AM_PROINVEST|24000093|GSIOG|Produit laboratoire|Hydroxyde de sodium 250G|PS08|MP:50% Avance/50% Aprés 30 jours.-Pour les classes SVT Basé sur Demande d&#039;achat 24000080.|1.00|84.00|0.00|84.00|84.00|||
AM_PROINVEST|24000093|GSIOG|Produit laboratoire|Sulfate de cuivre 250G|PS08|MP:50% Avance/50% Aprés 30 jours.-Pour les classes SVT Basé sur Demande d&#039;achat 24000080.|1.00|144.00|0.00|144.00|144.00|||
AM_PROINVEST|24000093|GSIOG|Produit laboratoire|Model crane: chat|PS08|MP:50% Avance/50% Aprés 30 jours.-Pour les classes SVT Basé sur Demande d&#039;achat 24000080.|1.00|600.00|0.00|600.00|600.00|||
AM_PROINVEST|24000093|GSIOG|Produit laboratoire|Model crane: lapin|PS08|MP:50% Avance/50% Aprés 30 jours.-Pour les classes SVT Basé sur Demande d&#039;achat 24000080.|1.00|600.00|0.00|600.00|600.00|||
AM_PROINVEST|24000093|GSIOG|Produit laboratoire|Oxymètre|PS08|MP:50% Avance/50% Aprés 30 jours.-Pour les classes SVT Basé sur Demande d&#039;achat 24000080.|1.00|6360.00|0.00|6360.00|6360.00|||
AM_PROINVEST|24000093|GSIOG|Produit laboratoire|Microscope optique monoculaire rotative sur 360°, inclinée à 45°|PS08|MP:50% Avance/50% Aprés 30 jours.-Pour les classes SVT Basé sur Demande d&#039;achat 24000080.|2.00|2640.00|0.00|5280.00|5280.00|||
AM_PROINVEST|24000093|GSIOG|Produit laboratoire|Ether de pétrole 250ML|PS08|MP:50% Avance/50% Aprés 30 jours.-Pour les classes SVT Basé sur Demande d&#039;achat 24000080.|1.00|144.00|0.00|144.00|144.00|||
AM_PROINVEST|24000093|GSIOG|Produit laboratoire|Bleu de bromothymol 250ML|PS08|MP:50% Avance/50% Aprés 30 jours.-Pour les classes SVT Basé sur Demande d&#039;achat 24000080.|1.00|108.00|0.00|108.00|108.00|||
AM_PROINVEST|24000093|GSIOG|Produit laboratoire|Rouge de crésol 250ML|PS08|MP:50% Avance/50% Aprés 30 jours.-Pour les classes SVT Basé sur Demande d&#039;achat 24000080.|1.00|96.00|0.00|96.00|96.00|||
AM_PROINVEST|24000093|GSIOG|Produit laboratoire|Eau iodée 250ML|PS08|MP:50% Avance/50% Aprés 30 jours.-Pour les classes SVT Basé sur Demande d&#039;achat 24000080.|1.00|60.00|0.00|60.00|60.00|||
AM_PROINVEST|24000093|GSIOG|Produit laboratoire|Rouge de méthylène 250ML|PS08|MP:50% Avance/50% Aprés 30 jours.-Pour les classes SVT Basé sur Demande d&#039;achat 24000080.|1.00|84.00|0.00|84.00|84.00|||
AM_PROINVEST|24000093|GSIOG|Produit laboratoire|Eau de chaux 250ML|PS08|MP:50% Avance/50% Aprés 30 jours.-Pour les classes SVT Basé sur Demande d&#039;achat 24000080.|1.00|72.00|0.00|72.00|72.00|||
AM_PROINVEST|24000093|GSIOG|Produit laboratoire|Acide chlorhydrique HCL 500ML|PS08|MP:50% Avance/50% Aprés 30 jours.-Pour les classes SVT Basé sur Demande d&#039;achat 24000080.|1.00|60.00|0.00|60.00|60.00|||
AM_PROINVEST|24000093|GSIOG|Produit laboratoire|Erlenmeyer 50 ml|PS08|MP:50% Avance/50% Aprés 30 jours.-Pour les classes SVT Basé sur Demande d&#039;achat 24000080.|3.00|36.00|0.00|108.00|108.00|||
AM_PROINVEST|24000093|GSIOG|Produit laboratoire|Erlenmeyer 100 ml|PS08|MP:50% Avance/50% Aprés 30 jours.-Pour les classes SVT Basé sur Demande d&#039;achat 24000080.|3.00|48.00|0.00|144.00|144.00|||
AM_PROINVEST|24000093|GSIOG|Produit laboratoire|Erlenmeyer 250 ml|PS08|MP:50% Avance/50% Aprés 30 jours.-Pour les classes SVT Basé sur Demande d&#039;achat 24000080.|3.00|72.00|0.00|216.00|216.00|||
AM_PROINVEST|24000093|GSIOG|Produit laboratoire|Burette graduée 25 ml|PS08|MP:50% Avance/50% Aprés 30 jours.-Pour les classes SVT Basé sur Demande d&#039;achat 24000080.|1.00|240.00|0.00|240.00|240.00|||
AM_PROINVEST|24000093|GSIOG|Produit laboratoire|Entonnoir en plastique|PS08|MP:50% Avance/50% Aprés 30 jours.-Pour les classes SVT Basé sur Demande d&#039;achat 24000080.|1.00|30.00|0.00|30.00|30.00|||
AM_PROINVEST|24000093|GSIOG|Produit laboratoire|Pipettes pasteur (lot de 10)|PS08|MP:50% Avance/50% Aprés 30 jours.-Pour les classes SVT Basé sur Demande d&#039;achat 24000080.|1.00|60.00|0.00|60.00|60.00|||
AM_PROINVEST|24000093|GSIOG|Produit laboratoire|Tubes à essai (lot de 10)|PS08|MP:50% Avance/50% Aprés 30 jours.-Pour les classes SVT Basé sur Demande d&#039;achat 24000080.|1.00|60.00|0.00|60.00|60.00|||
AM_PROINVEST|24000093|GSIOG|Produit laboratoire|Boites de petri (lot de 5)|PS08|MP:50% Avance/50% Aprés 30 jours.-Pour les classes SVT Basé sur Demande d&#039;achat 24000080.|1.00|240.00|0.00|240.00|240.00|||
AM_PROINVEST|24000093|GSIOG|Produit laboratoire|Lunettes de laboratoire|PS08|MP:50% Avance/50% Aprés 30 jours.-Pour les classes SVT Basé sur Demande d&#039;achat 24000080.|15.00|96.00|0.00|1440.00|1440.00|||
AM_PROINVEST|24000093|GSIOG|Produit laboratoire|Barreau aimanté d&#039;agitateur magnétique|PS08|MP:50% Avance/50% Aprés 30 jours.-Pour les classes SVT Basé sur Demande d&#039;achat 24000080.|1.00|96.00|0.00|96.00|96.00|||
AM_PROINVEST|24000093|GSIOG|Produit laboratoire|éprouvette graduée 100 ml|PS08|MP:50% Avance/50% Aprés 30 jours.-Pour les classes SVT Basé sur Demande d&#039;achat 24000080.|2.00|120.00|0.00|240.00|240.00|||
AM_PROINVEST|24000093|GSIOG|Produit laboratoire|Acétone 250ML|PS08|MP:50% Avance/50% Aprés 30 jours.-Pour les classes SVT Basé sur Demande d&#039;achat 24000080.|1.00|72.00|0.00|72.00|72.00|||
AM_PROINVEST|24000093|GSIOG|Produit laboratoire|Benzène 250ML|PS08|MP:50% Avance/50% Aprés 30 jours.-Pour les classes SVT Basé sur Demande d&#039;achat 24000080.|1.00|144.00|0.00|144.00|144.00|||
AM_PROINVEST|24000093|GSIOG|Produit laboratoire|Liqueur de fehling A et B 250ML|PS08|MP:50% Avance/50% Aprés 30 jours.-Pour les classes SVT Basé sur Demande d&#039;achat 24000080.|1.00|240.00|0.00|240.00|240.00|||
AM_PROINVEST|24000093|GSIOG|Produit laboratoire|Nitrate d&#039;argent 250ML|PS08|MP:50% Avance/50% Aprés 30 jours.-Pour les classes SVT Basé sur Demande d&#039;achat 24000080.|1.00|420.00|0.00|420.00|420.00|||
AM_PROINVEST|24000093|GSIOG|Produit laboratoire|Oxalate d&#039;alimmonium 250G|PS08|MP:50% Avance/50% Aprés 30 jours.-Pour les classes SVT Basé sur Demande d&#039;achat 24000080.|1.00|180.00|0.00|180.00|180.00|||
AM_PROINVEST|24000093|GSIOG|Produit laboratoire|Acide nitrique 250ML|PS08|MP:50% Avance/50% Aprés 30 jours.-Pour les classes SVT Basé sur Demande d&#039;achat 24000080.|1.00|72.00|0.00|72.00|72.00|||
AM_PROINVEST|24000093|GSIOG|Produit laboratoire|lames microscope (boite de 50 lames)|PS08|MP:50% Avance/50% Aprés 30 jours.-Pour les classes SVT Basé sur Demande d&#039;achat 24000080.|1.00|60.00|0.00|60.00|60.00|||
AM_PROINVEST|24000093|GSIOG|Produit laboratoire|Coffret modèles moléculaires|PS08|MP:50% Avance/50% Aprés 30 jours.-Pour les classes SVT Basé sur Demande d&#039;achat 24000080.|1.00|1080.00|0.00|1080.00|1080.00|||
AM_PROINVEST|24000093|GSIOG|Produit laboratoire|Les supports métalliques|PS08|MP:50% Avance/50% Aprés 30 jours.-Pour les classes SVT Basé sur Demande d&#039;achat 24000080.|10.00|360.00|0.00|3600.00|3600.00|||
AM_PROINVEST|24000093|GSIOG|Produit laboratoire|Les masses marquées|PS08|MP:50% Avance/50% Aprés 30 jours.-Pour les classes SVT Basé sur Demande d&#039;achat 24000080.|1.00|780.00|0.00|780.00|780.00|||
AM_PROINVEST|24000093|GSIOG|Produit laboratoire|les dynamomètres 1N, 5N, 10N|PS08|MP:50% Avance/50% Aprés 30 jours.-Pour les classes SVT Basé sur Demande d&#039;achat 24000080.|3.00|360.00|0.00|1080.00|1080.00|||
AM_PROINVEST|24000093|GSIOG|Produit laboratoire|Support universel statif avec tige|PS08|MP:50% Avance/50% Aprés 30 jours.-Pour les classes SVT Basé sur Demande d&#039;achat 24000080.|2.00|480.00|0.00|960.00|960.00|||
AM_PROINVEST|24000093|GSIOG|Produit laboratoire|Les ressorts à spires jointives lot de 3|PS08|MP:50% Avance/50% Aprés 30 jours.-Pour les classes SVT Basé sur Demande d&#039;achat 24000080.|5.00|180.00|0.00|900.00|900.00|||
AM_PROINVEST|24000093|GSIOG|Produit laboratoire|Boite des roches métamorphique (Boite en bois)|PS08|MP:50% Avance/50% Aprés 30 jours.-Pour les classes SVT Basé sur Demande d&#039;achat 24000080.|1.00|96.00|0.00|96.00|96.00|||
AM_PROINVEST|24000093|GSIOG|Produit laboratoire|Boite des roches magmatiques (Boite en bois)|PS08|MP:50% Avance/50% Aprés 30 jours.-Pour les classes SVT Basé sur Demande d&#039;achat 24000080.|1.00|96.00|0.00|96.00|96.00|||
